,houston,paris,sydney,texas,iowa,orlando,hawaii,london,chicago,panama,florida,austin,france,boston,seattle,italy,dallas,buffalo
bike,4,0,0,1,0,0,0,1,0,2,2,3,3,0,0,0,0,1
philanthropic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
race,1,0,0,6,0,0,0,0,0,6,0,1,0,0,0,0,0,0
team,0,0,0,1,0,0,4,0,0,2,0,0,7,3,0,0,0,0
titles,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
lancearmstrong,5,12,2,32,5,3,27,11,6,73,8,39,164,5,1,4,7,7
hero,0,1,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0
legend,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0
tourdefrance,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
imfrance,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
usa,0,0,0,0,0,0,4,1,0,1,0,3,17,0,0,0,0,0
live,2,1,0,8,0,0,11,0,2,6,0,7,12,2,0,0,1,0
trail,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
triathlon,0,0,0,2,0,0,1,0,0,2,0,1,1,0,0,0,0,0
ironman,0,0,0,7,0,0,7,0,0,38,5,0,6,0,0,0,0,1
impanama,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
inspire,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0
winner,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
riding,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
racing,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
ironmanpanama,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
tour,0,1,0,1,0,1,0,0,0,0,0,0,142,0,0,2,0,0
cancer,0,1,0,0,0,0,1,1,0,1,0,1,8,0,0,0,2,0
doping,0,0,0,0,0,0,2,0,0,1,0,0,16,0,0,0,0,0
cycling,0,2,0,2,0,0,0,1,0,1,0,0,9,0,0,0,0,0
armstrong,5,12,3,32,5,4,28,13,6,75,8,40,171,5,1,4,7,7
champion,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
swim,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
sushi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
lance,5,14,3,34,5,4,32,14,7,78,8,44,184,6,1,4,7,8
run,0,1,0,10,1,0,2,4,2,5,0,10,5,1,0,0,0,0
champ,0,1,0,0,0,0,1,0,0,0,0,0,14,0,0,0,2,0
inspiration,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
livestrong,2,0,0,6,0,0,1,0,2,5,0,6,6,2,0,0,0,0
