qid_	label_	f0	f1	f2	f3	f4
55	3.0	80.0	0.0	0.0	0.24095459490000001	1.034894824
55	3.0	74.0	0.0	0.0	0.0	1.2245244980000001
55	3.0	66.0	0.0	0.0	0.0	1.334487677
55	3.0	9.0	1.0	1.0	0.0	2.8942139149999999
55	1.0	10.0	0.0	0.0	0.0	3.0384836200000001
55	1.0	9.0	1.0	0.0	0.0	0.16979292000000001
55	1.0	10.0	0.0	0.0	1.7463109876	0.126002893
55	2.0	7.0	1.0	0.0	0.0	1.7586236
55	3.0	4.0	1.0	0.0	0.0	1.8731389046
55	3.0	4.0	0.0	1.0	0.0	1.4236371516999999
55	1.0	4.0	0.0	0.0	0.0	3.5920693874
41	1.0	20.0	0.0	0.0	0.19144408199999999	0.90515846
41	3.0	2.0	1.0	1.0	0.0	1.2652394772
41	1.0	2.0	1.0	0.0	0.0	2.1705160140999999
41	3.0	1.0	1.0	1.0	0.69314718060000002	1.8087635040000001
41	3.0	1.0	1.0	1.0	0.0	1.5347868203999999
41	1.0	2.0	1.0	0.0	0.0	0.82455688709999997
41	1.0	1.0	1.0	1.0	0.0	0.77093547579999999
41	1.0	1.0	1.0	0.0	0.0	2.5579776764000002
41	1.0	1.0	1.0	0.0	0.0	2.5579776764000002
41	3.0	1.0	0.0	1.0	0.0	2.5579776764000002
41	3.0	1.0	0.0	1.0	0.0	2.0463824272000002
44	1.0	3.0	1.0	0.0	0.0	1.5024052858000001
44	1.0	2.0	1.0	0.0	0.0	1.6789968014000001
44	1.0	1.0	1.0	1.0	0.0	1.5267753601
44	3.0	2.0	0.0	1.0	1.5229550675000001	1.2006444931
44	3.0	2.0	0.0	1.0	0.0	1.0795931816
44	1.0	2.0	1.0	0.0	0.0	0.6108078361
44	1.0	3.0	0.0	0.0	2.6450468037000001	0.49148440360000001
44	1.0	2.0	1.0	0.0	0.0	0.44908821580000002
44	1.0	2.0	1.0	0.0	0.63651416829999996	0.43023729319999998
44	1.0	1.0	1.0	0.0	0.0	2.1775932311999999
44	1.0	1.0	1.0	0.0	0.0	1.9053940773
32	3.0	8.0	0.0	1.0	3.3598096064999998	0.3977969885
32	1.0	6.0	0.0	1.0	2.7502630414000002	0.53089642520000002
32	1.0	3.0	0.0	1.0	3.0713837116999998	1.1312283277999999
32	1.0	3.0	0.0	1.0	3.3375378716999999	0.69228470330000003
32	1.0	2.0	0.0	1.0	1.054920168	1.2693502903
32	1.0	2.0	0.0	1.0	2.4689192914999998	1.1494791508
32	3.0	1.0	1.0	1.0	1.3862943611	1.1205394268
32	3.0	1.0	1.0	1.0	0.0	0.61548179390000002
32	1.0	2.0	0.0	1.0	3.0002350756	0.54265487189999995
32	1.0	3.0	0.0	0.0	1.4750763111	0.38881111149999997
32	1.0	2.0	1.0	0.0	2.3516733019	0.3543975949
27	2.0	5.0	1.0	1.0	1.9867316488	2.1660487651999998
27	2.0	5.0	0.0	1.0	2.7536109853999999	0.64982080460000002
27	1.0	4.0	1.0	0.0	0.0	2.2836699486000001
27	2.0	2.0	1.0	1.0	0.0	2.2836699486000001
27	3.0	2.0	1.0	1.0	1.3321790402	1.8936947583999999
27	1.0	3.0	1.0	0.0	0.0	1.5053956508999999
27	2.0	2.0	1.0	1.0	1.8866967847	1.4618097543999999
27	2.0	1.0	1.0	1.0	0.0	3.4765625
27	3.0	1.0	1.0	1.0	0.63651416829999996	1.9129123688
27	2.0	2.0	1.0	0.0	2.0028830411	1.7535283565999999
27	3.0	2.0	0.0	1.0	1.5607104089999999	1.7529951334
37	3.0	14.0	0.0	1.0	3.3598096064999998	0.56977796599999997
37	1.0	6.0	0.0	1.0	2.9918184637	1.1612226963000001
37	1.0	5.0	0.0	1.0	3.3375378716999999	0.73813915249999995
37	3.0	4.0	0.0	1.0	3.2735451087	0.76915389300000003
37	1.0	3.0	0.0	1.0	2.6305549535999999	1.2351509332999999
37	1.0	3.0	1.0	0.0	2.6023807798999998	0.81855499740000004
37	1.0	3.0	0.0	1.0	3.2809371035999999	0.43578130009999999
37	1.0	3.0	0.0	0.0	1.7476454234000001	0.97447049620000004
37	1.0	2.0	0.0	1.0	3.0713837116999998	0.91545987129999995
37	3.0	3.0	0.0	0.0	3.0390440284000002	0.85474574569999995
37	1.0	2.0	0.0	1.0	3.0002350756	0.58816301820000005
