entropy,rank
3.0,0
3.0,1.4750763111
3.0,0.9502705392
2.0,2.8191938559
2.0,1.149059697
2.0,0
2.0,1.0114042647
2.0,1.9712506786
2.0,0
3.0,0.191444082
2.0,0.3805062185
2.0,0.2337916587
3.0,0.2573186405
2.0,0.271189373
2.0,0.4293230219
2.0,0.4057070938
2.0,2.8191938559
2.0,1.4085788142
2.0,0
3.0,3.4001387915
3.0,0
3.0,
3.0,
2.0,0
3.0,3.4001387915
3.0,0
3.0,
3.0,
2.0,0
3.0,0.191444082
2.0,0.3805062185
2.0,0.2337916587
3.0,0.2573186405
2.0,0.271189373
2.0,0.4293230219
2.0,0.4057070938
2.0,2.8191938559
2.0,1.4085788142
3.0,0
3.0,1.4750763111
3.0,0.9502705392
2.0,2.8191938559
2.0,1.149059697
2.0,0
2.0,1.0114042647
2.0,1.9712506786
