entropy,rank
2.0,0
3.0,0.5359610497
2.0,0
3.0,0
2.0,0.6365141683
3.0,0.8675632285
2.0,0
2.0,0
2.0,0
3.0,1.0397207708
3.0,0.7356219398
3.0,0
3.0,0
2.0,0
2.0,0
2.0,
3.0,0
2.0,0
3.0,0.5359610497
2.0,0
3.0,0
2.0,0.6365141683
3.0,0.8675632285
2.0,0
2.0,0
2.0,0
3.0,1.0397207708
3.0,0.7356219398
3.0,0
3.0,0
2.0,0
2.0,0
2.0,
3.0,0
3.0,0
3.0,0
3.0,0.6365141683
3.0,0.6365141683
3.0,
2.0,0
2.0,0
2.0,0
2.0,0.673011667
2.0,0
2.0,1.9722469794
3.0,0
2.0,0
2.0,0
2.0,0
3.0,0.6365141683
