	qid_	label_	f0	f1	f2	f3	f4
2.4	8	3.0	20.0	1.0	1.0	0.0	1.056619167
2.4	8	2.0	6.0	1.0	1.0	0.0	1.2135417461
2.8	8	2.0	4.0	0.0	1.0	0.0	1.3127748965999999
3.0	8	3.0	2.0	1.0	1.0	0.0	1.9614548682999999
2.8	8	3.0	2.0	1.0	1.0	0.63651416829999996	1.5056760310999999
3.0	8	2.0	2.0	1.0	1.0	0.0	1.2811866998999999
2.4	8	2.0	3.0	0.0	1.0	0.67301166700000004	1.2628631591999999
2.4	8	3.0	2.0	1.0	1.0	0.63651416829999996	1.2321388720999999
1.0	8	2.0	2.0	1.0	0.0	0.0	2.1742458344000002
2.8	8	3.0	1.0	1.0	1.0	0.0	2.0498986243999999
2.8	8	2.0	1.0	1.0	1.0	0.0	2.0498986243999999
1.6	9	2.0	73.0	1.0	0.0	0.19139342500000001	1.7126847510000001
2.4	9	2.0	14.0	1.0	0.0	0.0	0.76194739300000003
2.0	9	1.0	5.0	0.0	0.0	0.0	0.82825756070000001
3.0	9	3.0	4.0	1.0	0.0	0.0	0.76291227340000001
3.0	9	2.0	2.0	1.0	1.0	0.0	1.1367945670999999
1.6	9	3.0	3.0	1.0	0.0	0.0	0.75553280119999999
2.4	9	2.0	2.0	1.0	1.0	0.0	0.68496119980000003
2.2	9	2.0	3.0	0.0	1.0	0.5623351446	0.63576018810000001
2.4	9	1.0	3.0	1.0	0.0	0.0	0.61422038079999997
2.0	9	3.0	1.0	1.0	1.0	0.0	1.5505959988
1.4	9	1.0	3.0	0.0	0.0	0.0	1.3922832011999999
2.0	31	2.0	140.0	0.0	0.0	0.86103027109999997	0.74260008
2.2	31	1.0	38.0	0.0	0.0	2.9565737141000001	0.81038463100000002
2.2	31	1.0	18.0	0.0	1.0	3.2809371035999999	0.50406420200000002
2.4	31	3.0	16.0	0.0	1.0	2.1934843334999998	0.81459057300000004
2.6	31	3.0	14.0	1.0	1.0	1.5171515848999999	0.98801946600000001
1.0	31	1.0	10.0	0.0	1.0	3.2318265609000001	1.82070446
2.6	31	1.0	6.0	0.0	1.0	0.73562193980000001	0.95740431550000005
2.4	31	3.0	6.0	1.0	0.0	0.0	0.95708966259999995
1.8	31	1.0	6.0	0.0	0.0	1.2275294114999999	1.0507471560999999
1.6	31	1.0	6.0	0.0	0.0	1.6188490917	0.67700213190000003
2.2	31	1.0	5.0	0.0	0.0	1.3522093991999999	0.74818772079999996
2.6	23	2.0	12.0	0.0	0.0	0.0	2.0912942889999999
2.6	23	3.0	8.0	1.0	1.0	0.34883209580000002	1.552457333
2.6	23	2.0	7.0	1.0	1.0	0.68373890579999996	1.2744578123000001
2.6	23	3.0	6.0	1.0	1.0	0.4101163183	1.477637291
3.0	23	3.0	4.0	1.0	1.0	1.7917594692000001	1.1941113472
3.0	23	2.0	2.0	1.0	1.0	0.50040242349999997	1.6887283325
2.2	23	2.0	4.0	0.0	0.0	0.0	1.2937144040999999
2.6	23	3.0	3.0	0.0	1.0	0.0	1.2937144040999999
2.4	23	3.0	2.0	1.0	1.0	0.63651416829999996	1.1941113472
1.7	23	1.0	2.0	1.0	0.0	0.0	2.3407397269999999
