qid_	label_	f0	f1	f2	f3	f4
54	3.0	1.0	1.0	1.0	1.2134098029	0.97503173350000005
54	3.0	3.0	0.0	0.0	3.1386910547000002	0.6530117393
54	1.0	1.0	1.0	0.0	0.0	2.2023336887
54	1.0	1.0	1.0	0.0	0.0	1.4001346827000001
54	3.0	1.0	0.0	1.0	1.6769877742999999	0.97503173350000005
54	1.0	1.0	1.0	0.0	0.0	0.88093346360000002
54	1.0	1.0	1.0	0.0	0.0	0.77081680299999999
54	3.0	1.0	0.0	1.0	1.2767278358	0.75499033930000004
54	1.0	1.0	1.0	0.0	0.69314718060000002	0.62197846170000004
54	1.0	1.0	1.0	0.0	0.0	0.60228258369999998
54	1.0	1.0	0.0	0.0	0.0	4.0266151427999999
34	3.0	49.0	0.0	1.0	3.3598096064999998	0.68833279599999997
34	2.0	18.0	1.0	0.0	2.666927694	1.174906969
34	3.0	10.0	0.0	0.0	2.0321941406000001	1.190693378
34	1.0	7.0	0.0	1.0	3.3375378716999999	0.76207077499999998
34	1.0	5.0	0.0	1.0	2.9918184637	1.1011989117000001
34	3.0	4.0	0.0	1.0	3.2735451087	0.70851838590000005
34	1.0	3.0	0.0	1.0	3.2318265609000001	1.6179592609
34	3.0	2.0	1.0	1.0	1.6613228392999999	1.4956376552999999
34	3.0	2.0	1.0	1.0	1.0114042647000001	0.74924588199999997
34	3.0	1.0	1.0	1.0	1.3862943611	2.0584702492
34	2.0	3.0	0.0	0.0	2.2055983590000001	1.6989135742000001
45	1.0	6.0	1.0	0.0	0.0	0.50601452589999996
45	1.0	4.0	1.0	0.0	0.0	0.33996903899999997
45	3.0	1.0	1.0	1.0	0.0	1.9386988878
45	1.0	2.0	1.0	0.0	0.0	1.2598828076999999
45	1.0	2.0	1.0	0.0	0.63651416829999996	0.53986740109999998
45	1.0	2.0	0.0	0.0	0.0	1.9583816528
45	3.0	1.0	1.0	0.0	0.0	1.9386988878
45	1.0	1.0	1.0	0.0	0.0	1.3847849369
45	1.0	1.0	0.0	1.0	0.69314718060000002	1.1750289201999999
45	1.0	1.0	1.0	0.0	0.0	1.1165409088
45	1.0	0.0	1.0	1.0	0.0	0.98475068809999999
40	3.0	2.0	0.0	1.0	1.5229550675000001	1.4940096140000001
40	3.0	2.0	0.0	1.0	1.2000873228	1.0458067656000001
40	3.0	2.0	0.0	1.0	2.9966178246999999	0.97165536880000003
40	1.0	2.0	0.0	0.0	0.0	2.6406702995
40	3.0	1.0	0.0	1.0	0.0	2.6141300201000002
40	1.0	1.0	0.0	1.0	1.0397207708	1.3572123051
