#query: tattoo - los angeles - 54
3.0 qid:54 1:1 2:1 3:1 4:1.2134098029 5:0.9750317335
3.0 qid:54 1:3 2:0 3:0 4:3.1386910547 5:0.6530117393
1.0 qid:54 1:1 2:1 3:0 4:0 5:2.2023336887
1.0 qid:54 1:1 2:1 3:0 4:0 5:1.4001346827
3.0 qid:54 1:1 2:0 3:1 4:1.6769877743 5:0.9750317335
1.0 qid:54 1:1 2:1 3:0 4:0 5:0.8809334636
1.0 qid:54 1:1 2:1 3:0 4:0 5:0.770816803
3.0 qid:54 1:1 2:0 3:1 4:1.2767278358 5:0.7549903393
1.0 qid:54 1:1 2:1 3:0 4:0.6931471806 5:0.6219784617
1.0 qid:54 1:1 2:1 3:0 4:0 5:0.6022825837
1.0 qid:54 1:1 2:0 3:0 4:0 5:4.0266151428
#query: nba - new york - 34
3.0 qid:34 1:49 2:0 3:1 4:3.3598096065 5:0.688332796
2.0 qid:34 1:18 2:1 3:0 4:2.666927694 5:1.174906969
3.0 qid:34 1:10 2:0 3:0 4:2.0321941406 5:1.190693378
1.0 qid:34 1:7 2:0 3:1 4:3.3375378717 5:0.762070775
1.0 qid:34 1:5 2:0 3:1 4:2.9918184637 5:1.1011989117
3.0 qid:34 1:4 2:0 3:1 4:3.2735451087 5:0.7085183859
1.0 qid:34 1:3 2:0 3:1 4:3.2318265609 5:1.6179592609
3.0 qid:34 1:2 2:1 3:1 4:1.6613228393 5:1.4956376553
3.0 qid:34 1:2 2:1 3:1 4:1.0114042647 5:0.749245882
3.0 qid:34 1:1 2:1 3:1 4:1.3862943611 5:2.0584702492
2.0 qid:34 1:3 2:0 3:0 4:2.205598359 5:1.6989135742
#query: iphone - boston - 45
1.0 qid:45 1:6 2:1 3:0 4:0 5:0.5060145259
1.0 qid:45 1:4 2:1 3:0 4:0 5:0.339969039
3.0 qid:45 1:1 2:1 3:1 4:0 5:1.9386988878
1.0 qid:45 1:2 2:1 3:0 4:0 5:1.2598828077
1.0 qid:45 1:2 2:1 3:0 4:0.6365141683 5:0.5398674011
1.0 qid:45 1:2 2:0 3:0 4:0 5:1.9583816528
3.0 qid:45 1:1 2:1 3:0 4:0 5:1.9386988878
1.0 qid:45 1:1 2:1 3:0 4:0 5:1.3847849369
1.0 qid:45 1:1 2:0 3:1 4:0.6931471806 5:1.1750289202
1.0 qid:45 1:1 2:1 3:0 4:0 5:1.1165409088
1.0 qid:45 1:0 2:1 3:1 4:0 5:0.9847506881
#query: iphone - new york - 40
3.0 qid:40 1:2 2:0 3:1 4:1.5229550675 5:1.494009614
3.0 qid:40 1:2 2:0 3:1 4:1.2000873228 5:1.0458067656
3.0 qid:40 1:2 2:0 3:1 4:2.9966178247 5:0.9716553688
1.0 qid:40 1:2 2:0 3:0 4:0 5:2.6406702995
3.0 qid:40 1:1 2:0 3:1 4:0 5:2.6141300201
1.0 qid:40 1:1 2:0 3:1 4:1.0397207708 5:1.3572123051
1.0 qid:40 1:1 2:1 3:0 4:0 5:1.3070650101
3.0 qid:40 1:2 2:0 3:0 4:3.1179958742 5:0.8960276842
3.0 qid:40 1:2 2:0 3:0 4:1.3592367007 5:0.8952453136
1.0 qid:40 1:1 2:1 3:0 4:0.6931471806 5:0.8885530829
1.0 qid:40 1:1 2:0 3:1 4:1.6094379124 5:0.7800531387
#query: tattoo - miami - 53
3.0 qid:53 1:12 2:1 3:1 4:2.3974572448 5:1.180746317
3.0 qid:53 1:8 2:1 3:0 4:0 5:0.8603520393
3.0 qid:53 1:9 2:0 3:0 4:3.1386910547 5:0.690623343
3.0 qid:53 1:7 2:0 3:1 4:0 5:1.2451804876
3.0 qid:53 1:2 2:1 3:1 4:1.3296613489 5:1.1903772354
3.0 qid:53 1:2 2:1 3:1 4:0 5:1.1871664524
3.0 qid:53 1:1 2:1 3:1 4:0 5:2.3314788342
1.0 qid:53 1:3 2:0 3:0 4:0 5:0.1658234
1.0 qid:53 1:2 2:0 3:0 4:0 5:2.6569592953
3.0 qid:53 1:1 2:0 3:1 4:0 5:2.4543938637
1.0 qid:53 1:1 2:1 3:0 4:0 5:2.4543938637
#query: tattoo - new york - 50
2.0 qid:50 1:3 2:0 3:1 4:0 5:2.9667015076
3.0 qid:50 1:3 2:0 3:1 4:2.3974572448 5:1.0862138271
3.0 qid:50 1:1 2:1 3:1 4:0.6931471806 5:2.0125796795
1.0 qid:50 1:2 2:1 3:0 4:1.6845339001 5:0.2613669038
1.0 qid:50 1:1 2:1 3:0 4:0 5:3.0027396679
3.0 qid:50 1:1 2:0 3:1 4:0 5:2.5022830963
1.0 qid:50 1:2 2:0 3:0 4:0 5:2.2769739628
3.0 qid:50 1:1 2:0 3:1 4:0.6931471806 5:1.4088058472
3.0 qid:50 1:1 2:0 3:1 4:2.0794415417 5:1.2663521767
1.0 qid:50 1:1 2:1 3:0 4:0 5:1.2210514545
3.0 qid:50 1:1 2:0 3:1 4:0 5:0.6255707741
#query: beer - san diego - 27
2.0 qid:27 1:5 2:1 3:1 4:1.9867316488 5:2.1660487652
2.0 qid:27 1:5 2:0 3:1 4:2.7536109854 5:0.6498208046
1.0 qid:27 1:4 2:1 3:0 4:0 5:2.2836699486
2.0 qid:27 1:2 2:1 3:1 4:0 5:2.2836699486
3.0 qid:27 1:2 2:1 3:1 4:1.3321790402 5:1.8936947584
1.0 qid:27 1:3 2:1 3:0 4:0 5:1.5053956509
2.0 qid:27 1:2 2:1 3:1 4:1.8866967847 5:1.4618097544
2.0 qid:27 1:1 2:1 3:1 4:0 5:3.4765625
3.0 qid:27 1:1 2:1 3:1 4:0.6365141683 5:1.9129123688
2.0 qid:27 1:2 2:1 3:0 4:2.0028830411 5:1.7535283566
3.0 qid:27 1:2 2:0 3:1 4:1.560710409 5:1.7529951334
#query: beer - denver - 16
2.0 qid:16 1:60 2:1 3:1 4:0.4227595492 5:0.980353951
2.0 qid:16 1:44 2:1 3:0 4:0 5:0.928635001
3.0 qid:16 1:23 2:1 3:1 4:1.2112892635 5:1.000663638
2.0 qid:16 1:21 2:1 3:1 4:2.1927761884 5:1.089766383
3.0 qid:16 1:11 2:1 3:1 4:1.2000873228 5:1.339996934
2.0 qid:16 1:13 2:0 3:0 4:1.414264378 5:0.768558145
2.0 qid:16 1:13 2:0 3:0 4:0.9876148004 5:0.517288148
3.0 qid:16 1:10 2:1 3:1 4:0.5402041424 5:0.794189274
3.0 qid:16 1:8 2:1 3:1 4:0.6390318597 5:0.918005109
3.0 qid:16 1:9 2:1 3:0 4:0 5:0.676468492
